base_url,current_organisation,current_sector,in_2026_06_30,scans_seen,historical_names
https://www.whaikaha.govt.nz/,Whaikaha,Public Service Departments,true,5,Whaikaha
https://www.wildingpines.nz/,Ministry for Primary Industries,Public Service Departments,true,2,Ministry for Primary Industries
https://www.women.govt.nz/,Ministry for Women,Public Service Departments,true,6,Ministry for Women
https://www.workandincome.govt.nz/,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://www.workandincome.govt.nz/map/index.html,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://www.workandincome.govt.nz/online-services/kiosk/find-a-job.html,,,false,2,Ministry of Social Development
https://www.workforceinsights.govt.nz/,Ministry for Primary Industries,Public Service Departments,true,6,Ministry for Primary Industries
https://www.xn--morilandcourt-wqb.govt.nz/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://www.xn--tekhuikhu-7bbe.govt.nz/,Ministry of Social Development,Public Service Departments,true,4,Ministry of Social Development
https://www.youthcourt.govt.nz/home-2/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://www.youthhub.co.nz,,,false,2,Ministry of Social Development
https://www.youthmentoring.org.nz,,,false,2,Ministry of Social Development
https://www.youthservice.govt.nz/,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://www2.justice.govt.nz/elibsonline/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://youthemployer.nz,,,false,2,Ministry of Social Development
https://youthguarantee.education.govt.nz,Ministry of Education,Public Service Departments,true,6,Ministry of Education
https://youthwork.orangatamariki.govt.nz/,Oranga Tamariki,Public Service Departments,true,0,
https://zero.education.govt.nz/,Ministry of Education,Public Service Departments,true,2,Ministry of Education
https://zh-hans.getready.govt.nz/,National Emergency Management Agency,Public Service Departmental Agencies,true,5,National Emergency Management Agency
https://zh-hant.getready.govt.nz/,National Emergency Management Agency,Public Service Departmental Agencies,true,5,National Emergency Management Agency
